ccode_pew,satis,age,age2
8,5,40,1600
8,5,28,784
8,5,42,1764
8,8,54,2916
8,5,38,1444
8,4,32,1024
8,7,40,1600
8,6,40,1600
8,5,40,1600
8,7,34,1156
8,8,30,900
8,0,43,1849
8,4,42,1764
8,5,38,1444
8,7,52,2704
8,6,57,3249
8,6,52,2704
8,7,41,1681
8,10,28,784
8,3,40,1600
8,4,41,1681
8,5,38,1444
8,6,49,2401
8,1,45,2025
8,6,43,1849
8,5,32,1024
8,6,31,961
8,5,60,3600
8,5,49,2401
8,5,24,576
8,3,33,1089
8,1,35,1225
8,5,38,1444
8,0,58,3364
8,4,43,1849
8,5,50,2500
8,0,40,1600
8,6,44,1936
8,7,59,3481
8,6,58,3364
8,5,42,1764
8,5,57,3249
8,4,48,2304
8,6,33,1089
8,8,55,3025
8,8,60,3600
8,7,42,1764
8,4,44,1936
8,4,40,1600
8,6,57,3249
8,0,42,1764
8,5,47,2209
8,5,37,1369
8,5,59,3481
8,5,60,3600
8,5,55,3025
8,6,53,2809
8,5,27,729
8,7,38,1444
8,5,33,1089
8,6,48,2304
8,6,40,1600
8,5,49,2401
8,8,36,1296
8,7,32,1024
8,2,50,2500
8,5,51,2601
8,5,51,2601
8,5,39,1521
8,7,55,3025
8,8,32,1024
8,6,54,2916
8,7,57,3249
8,5,54,2916
8,9,57,3249
8,5,22,484
8,5,47,2209
8,9,50,2500
8,6,37,1369
8,5,35,1225
8,5,50,2500
8,5,49,2401
8,8,53,2809
8,10,37,1369
8,8,49,2401
8,7,33,1089
8,7,40,1600
8,8,36,1296
8,3,45,2025
8,5,42,1764
8,3,51,2601
8,6,31,961
8,5,35,1225
8,8,34,1156
8,5,34,1156
8,1,32,1024
8,6,40,1600
8,7,45,2025
8,6,22,484
8,8,38,1444
8,5,37,1369
8,6,36,1296
8,1,58,3364
8,5,51,2601
8,5,51,2601
8,3,40,1600
8,5,46,2116
8,9,25,625
8,5,21,441
8,7,38,1444
8,5,50,2500
8,8,29,841
8,6,58,3364
8,7,42,1764
8,5,41,1681
8,9,54,2916
8,5,27,729
8,6,54,2916
8,5,43,1849
8,6,43,1849
8,5,55,3025
8,4,38,1444
8,10,35,1225
8,5,58,3364
8,5,25,625
8,6,50,2500
8,5,45,2025
8,5,49,2401
8,10,50,2500
8,4,32,1024
8,5,48,2304
8,5,42,1764
8,7,40,1600
8,5,30,900
8,8,40,1600
8,5,49,2401
8,7,24,576
8,8,51,2601
8,5,45,2025
8,4,44,1936
8,5,32,1024
8,5,53,2809
8,7,30,900
8,5,59,3481
8,3,31,961
8,7,51,2601
8,5,39,1521
8,5,35,1225
8,5,31,961
8,6,33,1089
8,5,51,2601
8,8,40,1600
8,6,52,2704
8,9,43,1849
8,5,41,1681
8,5,59,3481
8,5,38,1444
8,5,52,2704
8,4,43,1849
8,5,41,1681
8,5,39,1521
8,5,53,2809
8,3,37,1369
8,10,45,2025
8,6,38,1444
8,8,22,484
8,5,42,1764
8,5,50,2500
8,5,32,1024
8,5,38,1444
8,6,40,1600
8,5,35,1225
8,5,44,1936
8,8,22,484
8,7,30,900
8,4,34,1156
8,8,34,1156
8,4,43,1849
8,5,43,1849
8,3,39,1521
8,10,55,3025
8,5,48,2304
8,5,53,2809
8,3,58,3364
8,3,39,1521
8,6,53,2809
8,6,28,784
8,5,37,1369
8,6,43,1849
8,5,59,3481
8,3,59,3481
8,4,39,1521
8,3,37,1369
8,5,32,1024
8,5,40,1600
8,6,51,2601
8,0,53,2809
8,5,55,3025
8,5,37,1369
8,8,32,1024
8,8,48,2304
8,6,36,1296
8,5,36,1296
8,4,38,1444
8,4,47,2209
8,5,48,2304
8,5,37,1369
8,5,58,3364
8,5,43,1849
8,5,42,1764
8,7,45,2025
8,5,54,2916
8,5,31,961
8,5,50,2500
8,5,51,2601
8,6,52,2704
8,5,29,841
8,5,38,1444
8,8,42,1764
8,7,42,1764
8,6,36,1296
8,5,37,1369
8,6,28,784
8,1,48,2304
8,8,45,2025
8,4,38,1444
8,8,59,3481
8,5,25,625
8,8,40,1600
8,5,39,1521
8,5,40,1600
8,8,40,1600
8,8,59,3481
8,5,39,1521
8,8,35,1225
8,9,26,676
8,7,47,2209
8,5,50,2500
8,5,43,1849
8,8,29,841
8,8,56,3136
8,5,39,1521
8,5,35,1225
8,7,38,1444
8,7,55,3025
8,8,39,1521
8,6,52,2704
8,9,58,3364
8,8,58,3364
8,7,42,1764
8,8,33,1089
8,6,42,1764
8,0,36,1296
8,4,50,2500
8,6,52,2704
8,5,30,900
8,5,47,2209
8,6,53,2809
8,5,48,2304
8,7,45,2025
8,5,47,2209
8,7,47,2209
8,8,25,625
8,8,47,2209
8,5,36,1296
8,8,53,2809
8,5,47,2209
8,5,34,1156
8,5,46,2116
8,3,40,1600
8,9,50,2500
8,5,26,676
8,8,47,2209
8,6,40,1600
8,4,25,625
8,7,38,1444
8,6,33,1089
8,7,47,2209
8,7,28,784
8,6,47,2209
8,5,50,2500
8,3,21,441
8,5,41,1681
8,8,21,441
8,6,52,2704
8,5,49,2401
8,2,45,2025
8,2,42,1764
8,3,45,2025
8,6,59,3481
8,6,42,1764
8,6,42,1764
8,5,40,1600
8,3,46,2116
8,5,49,2401
8,5,38,1444
8,3,48,2304
8,3,54,2916
8,5,48,2304
8,9,45,2025
8,7,40,1600
8,10,48,2304
8,6,39,1521
8,5,50,2500
8,5,23,529
8,8,50,2500
8,8,53,2809
8,7,23,529
8,5,47,2209
8,4,52,2704
8,5,45,2025
8,1,42,1764
8,1,58,3364
8,5,46,2116
8,5,28,784
8,7,57,3249
8,6,41,1681
8,4,30,900
8,3,52,2704
8,5,46,2116
8,5,45,2025
8,4,40,1600
8,6,46,2116
8,7,53,2809
8,5,38,1444
8,6,51,2601
8,5,39,1521
8,8,23,529
8,5,42,1764
8,6,47,2209
8,5,48,2304
8,5,49,2401
8,6,50,2500
8,4,45,2025
8,7,38,1444
8,7,34,1156
8,6,30,900
8,2,43,1849
8,6,57,3249
8,9,23,529
8,7,55,3025
8,1,46,2116
8,2,49,2401
8,6,58,3364
8,6,57,3249
8,5,21,441
8,5,26,676
8,2,52,2704
8,8,45,2025
8,5,46,2116
8,7,42,1764
8,5,46,2116
8,5,21,441
8,5,24,576
8,5,30,900
8,7,30,900
8,5,48,2304
8,6,59,3481
8,4,46,2116
8,7,52,2704
8,1,44,1936
8,8,54,2916
8,3,48,2304
8,4,42,1764
8,1,52,2704
8,10,60,3600
8,7,36,1296
8,7,40,1600
8,6,48,2304
8,7,55,3025
8,8,40,1600
8,7,40,1600
8,6,45,2025
8,4,39,1521
8,5,38,1444
8,6,40,1600
8,9,32,1024
8,5,43,1849
8,6,23,529
8,0,42,1764
8,1,52,2704
8,6,27,729
8,6,36,1296
8,8,29,841
8,7,42,1764
8,6,50,2500
8,5,44,1936
8,6,60,3600
8,6,41,1681
8,2,24,576
8,6,43,1849
8,5,21,441
8,8,38,1444
8,5,49,2401
8,5,42,1764
8,3,58,3364
8,4,42,1764
8,3,56,3136
8,8,47,2209
8,10,54,2916
8,5,55,3025
8,8,37,1369
8,5,50,2500
8,10,53,2809
8,5,35,1225
8,6,48,2304
8,4,50,2500
8,6,44,1936
8,1,39,1521
8,4,53,2809
8,6,47,2209
8,8,53,2809
8,7,39,1521
8,5,47,2209
8,6,38,1444
8,5,50,2500
8,6,44,1936
8,6,42,1764
8,8,44,1936
8,2,40,1600
8,6,47,2209
8,7,46,2116
8,6,50,2500
8,6,31,961
8,3,45,2025
8,5,55,3025
8,5,36,1296
8,3,47,2209
8,4,58,3364
8,5,58,3364
8,4,52,2704
8,5,40,1600
8,6,47,2209
8,2,53,2809
8,6,28,784
8,6,39,1521
8,5,21,441
8,6,46,2116
8,6,51,2601
8,4,40,1600
8,5,38,1444
8,7,26,676
8,6,45,2025
8,8,43,1849
8,6,45,2025
8,5,26,676
8,5,51,2601
8,6,44,1936
8,8,33,1089
8,4,22,484
8,5,48,2304
8,7,42,1764
8,4,34,1156
8,0,49,2401
8,5,44,1936
8,5,39,1521
8,3,53,2809
8,8,44,1936
8,8,30,900
8,6,38,1444
8,6,56,3136
8,7,57,3249
8,6,59,3481
8,5,38,1444
8,7,43,1849
8,6,47,2209
8,5,39,1521
8,8,46,2116
8,4,58,3364
8,5,56,3136
8,6,48,2304
8,5,49,2401
8,8,46,2116
8,4,55,3025
8,5,49,2401
8,4,43,1849
8,6,47,2209
8,5,46,2116
8,5,50,2500
8,1,43,1849
8,7,50,2500
8,2,42,1764
8,5,42,1764
8,8,46,2116
8,3,49,2401
8,6,39,1521
8,5,41,1681
8,5,33,1089
8,5,45,2025
8,5,52,2704
8,5,46,2116
8,5,27,729
8,5,53,2809
8,8,28,784
8,5,44,1936
8,6,38,1444
8,6,47,2209
8,6,47,2209
8,7,45,2025
8,4,28,784
8,5,24,576
8,5,23,529
8,7,24,576
8,7,52,2704
8,5,41,1681
8,5,35,1225
8,5,48,2304
8,7,27,729
8,6,45,2025
8,5,57,3249
8,6,44,1936
8,6,57,3249
